province	city_name	city_level
四川省	甘孜藏族自治州	五线城市
黑龙江省	伊春市	五线城市
甘肃省	陇南市	五线城市
内蒙古自治区	乌海市	五线城市
西藏自治区	林芝市	五线城市
云南省	怒江傈僳族自治州	五线城市
山西省	朔州市	五线城市
山西省	阳泉市	五线城市
甘肃省	嘉峪关市	五线城市
黑龙江省	鹤岗市	五线城市
甘肃省	张掖市	五线城市
吉林省	辽源市	五线城市
宁夏回族自治区	吴忠市	五线城市
新疆维吾尔自治区	昌吉回族自治州	五线城市
黑龙江省	大兴安岭地区	五线城市
新疆维吾尔自治区	巴音郭楞蒙古自治州	五线城市
西藏自治区	日喀则市	五线城市
内蒙古自治区	阿拉善盟	五线城市
四川省	巴中市	五线城市
甘肃省	平凉市	五线城市
新疆维吾尔自治区	阿克苏地区	五线城市
甘肃省	定西市	五线城市
陕西省	商洛市	五线城市
甘肃省	金昌市	五线城市
黑龙江省	七台河市	五线城市
宁夏回族自治区	石嘴山市	五线城市
甘肃省	白银市	五线城市
陕西省	铜川市	五线城市
甘肃省	武威市	五线城市
新疆维吾尔自治区	吐鲁番市	五线城市
宁夏回族自治区	固原市	五线城市
西藏自治区	山南市	五线城市
甘肃省	临夏回族自治州	五线城市
青海省	海东市	五线城市
新疆维吾尔自治区	喀什地区	五线城市
甘肃省	甘南藏族自治州	五线城市
西藏自治区	昌都市	五线城市
宁夏回族自治区	中卫市	五线城市
四川省	资阳市	五线城市
新疆维吾尔自治区	阿勒泰地区	五线城市
新疆维吾尔自治区	塔城地区	五线城市
新疆维吾尔自治区	博尔塔拉蒙古自治州	五线城市
青海省	海南藏族自治州	五线城市
新疆维吾尔自治区	克孜勒苏柯尔克孜自治州	五线城市
西藏自治区	阿里地区	五线城市
新疆维吾尔自治区	和田地区	五线城市
青海省	玉树藏族自治州	五线城市
西藏自治区	那曲市	五线城市
青海省	黄南藏族自治州	五线城市
青海省	海北藏族自治州	五线城市
青海省	果洛藏族自治州	五线城市
海南省	三沙市	五线城市
新疆维吾尔自治区	石河子市	五线城市
湖北省	潜江市	五线城市
新疆维吾尔自治区	图木舒克市	五线城市
四川省	攀枝花市	五线城市
湖北省	仙桃市	五线城市
湖北省	天门市	五线城市
河南省	济源市	五线城市
海南省	琼海市	五线城市
海南省	万宁市	五线城市
海南省	东方市	五线城市
海南省	乐东黎族自治县	五线城市
新疆维吾尔自治区	五家渠市	五线城市
海南省	文昌市	五线城市
山东省	莱芜市	五线城市
新疆维吾尔自治区	阿拉尔市	五线城市
重庆市	重庆县	新一线城市
